frontend/src/features/upstreams/__tests__/automatic-upstream-info.test.tsx	ed25b8fe6772567ebb37e8267cbf667232df4cdcd376f07fadc145caa5c80f58	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/onboarding-accessibility.test.tsx	b00f0ecb0e20ccdf3c5a0723d6076f4672623d9803f6c8c1e2a725d95c4c096f	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/onboarding-composite-fallback.test.tsx	cb594df49044c4156ec6eb652a73d30dfb962337fec68519d14d34cb331c1c8e	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/onboarding-fixture.tsx	b58fa3c9819bdeaf2a5c29dcff4c33a5fd58240e68a48855a35bf1e79d8402df	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/onboarding-group-entry.test.tsx	b050d10eb23e36b92533dd6a0a5bf6dbae4dfa28a04bbae4842f70b1da81db70	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/onboarding-maintenance-loading.test.tsx	0c134f0e871e78e69239a7010dccaf209a8f3039dee116eecc9b92ff045801d1	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/__tests__/task-dialog-lifecycle.test.tsx	79a309e92d5eca21bfd81b61afcf511b71d7403344e9cd3b223ef6715f00a1f4	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/components/__tests__/balance-filter-validation.test.tsx	ca602a507fc1d6de94a1a9b887b81d4c55664b1da93caf69012c2572a59062a5	reviewed	Read complete onboarding integration fixtures, accessible fields, stable-ID group entry, task lifetime and balance validation tests.
frontend/src/features/upstreams/components/__tests__/candidate-visibility.test.tsx	c35c198c9a13a8fc4cc47f148be22890bb75814f51950f74a592149813e9262b	reviewed	Reviewed candidate filtering, editor load/credential regression, history overview, cleanup refresh, layout and group binding tests.
frontend/src/features/upstreams/components/__tests__/editor-credential-lifecycle.test.tsx	b282fa29e115e66b053503d3f5ea0af49c9ad84a7d68ad4449b711604d925fbf	reviewed	Read full regression; background refresh preserves draft, successful/failed token saves never enter shared mutation state, and stale host response preserves current editor. Four cases passed.
frontend/src/features/upstreams/components/__tests__/editor-loading.test.tsx	36afd5f3ae61a25749d0affdb0cc131bb155c1273f68f0e4726321acd4f02f8b	reviewed	Reviewed candidate filtering, editor load/credential regression, history overview, cleanup refresh, layout and group binding tests.
frontend/src/features/upstreams/components/__tests__/group-history-overview.test.tsx	1f43e8e68917012becd210c88a4a0f9e78330dfffef296e18c0e91821833643d	reviewed	Reviewed candidate filtering, editor load/credential regression, history overview, cleanup refresh, layout and group binding tests.
